ID,AWQ_Station_ID,CL,L,H,R,CL_GRP
S14484_2010,14484,18.30714286,0.210963455,0.043189369,1.699346405,M
S14520_2011,14520,22.7,0.431372549,0.161764706,2.727272727,M
S14523_2015,14523,6.2,0.220930233,0.157807309,4.166666667,L
S14547_2003,14547,9.733333333,0.032679739,0.661764706,9.529411765,L
S14553_2013,14553,44.8,0.068333333,0.735,9.149377593,H
S14581_2010,14581,35.3,0.224025974,0.314935065,5.843373494,M
S14581_2014,14581,37.45,0.147744946,0.441679627,7.493403694,M
S14594_2010,14594,13.73333333,0.291666667,0.153846154,3.45323741,L
S14598_2004,14598,30.2,0.021138211,0.250406504,9.221556886,M
S14605_2004,14605,30.6,0.025,0.216666667,8.965517241,M
S14609_2004,14609,42.7,0.06,0.461666667,8.849840256,M
S14667_2010,14667,25.72857143,0.298333333,0.14,3.19391635,M
S14669_2004,14669,44.45,0.041666667,0.563333333,9.311294766,M
S14669_2013,14669,43.8,0.138333333,0.136666667,4.96969697,M
S14669_2014,14669,55.9,0.097039474,0.226973684,7.005076142,H
S14669_2015,14669,61.6,0.347540984,0.32295082,4.816625917,H
S14686_2003,14686,9.283333333,0.192371476,0.253731343,5.687732342,L
S14687_2004,14687,14.75,0.066777963,0.47245409,8.761609907,L
S14706_2013,14706,17.33333333,0.123333333,0.3,7.086614173,M
S14720_2011,14720,5.85,0.525396825,0.001587302,0.030120482,L
S14720_2013,14720,5.75,0.588333333,0.118333333,1.674528302,L
S14721_2003,14721,10.16666667,0.035,0.428333333,9.244604317,L
S14721_2013,14721,17.1,0.103333333,0.146666667,5.866666667,M
S14732_2014,14732,26.96666667,0.031565657,0.266414141,8.940677966,M
S14733_2014,14733,36.46666667,0.044515103,0.012718601,2.222222222,M
S14735_2010,14735,19.90714286,0.068219634,0.044925125,3.970588235,M
S14740_2015,14740,19,0.272577997,0.162561576,3.735849057,M
S14825_2015,14825,72.9,0.281666667,0.33,5.395095368,H
S14841_2010,14841,18.075,0.356944444,0.309722222,4.645833333,M
S14848_2003,14848,41.8,0.011666667,0.376666667,9.699570815,M
S14866_2014,14866,9.3,0.744939271,0.056680162,0.707070707,L
S14996_2003,14996,22.3,0.035,0.533333333,9.384164223,M
S14997_2003,14997,10.93333333,0.04,0.611666667,9.386189258,L
S14998_2003,14998,11.23333333,0.363333333,0.08,1.804511278,L
S14999_2003,14999,17.73333333,0.168333333,0.633333333,7.9002079,M
S15000_2003,15000,5.133333333,0.103333333,0.318333333,7.549407115,L
S15001_2003,15001,2.066666667,0.59,0.021666667,0.354223433,L
S15003_2003,15003,18.96666667,0.113333333,0.203333333,6.421052632,M
S15003_2014,15003,25.83333333,0.026622296,0.347753744,9.288888889,M
S15004_2003,15004,29.23333333,0.085,0.561666667,8.68556701,M
S15004_2004,15004,35.65,0.298333333,0.385,5.634146341,M
S15004_2014,15004,30.4,0.001647446,0.039538715,9.6,M
S15005_2003,15005,8.3,0.225,0.121666667,3.509615385,L
S15006_2003,15006,39.21666667,0.006655574,0.698835275,9.905660377,M
S15007_2003,15007,9.533333333,0.1,0.073333333,4.230769231,L
S15008_2003,15008,15.7,0.035,0.401666667,9.198473282,M
S15010_2003,15010,47.3,0.506666667,0.038333333,0.703363914,H
S15011_2003,15011,3.683333333,0.796666667,0.033333333,0.401606426,L
S15012_2003,15012,18.475,0.018333333,0.441666667,9.601449275,M
S15013_2003,15013,17.06666667,0.063333333,0.516666667,8.908045977,M
S15013_2010,15013,20.675,0.062015504,0.493023256,8.882681564,M
S15014_2003,15014,6.966666667,0.676666667,0.001666667,0.024570025,L
S15015_2003,15015,13.1,0.095,0.185,6.607142857,L
S15016_2003,15016,50.26666667,0.043333333,0.523333333,9.235294118,H
S15017_2003,15017,18.56666667,0.205980066,0.544850498,7.256637168,M
S15018_2003,15018,24.8,0.013333333,0.668333333,9.804400978,M
S15022_2003,15022,14.13333333,0.028333333,0.513333333,9.476923077,L
S15023_2003,15023,14.73333333,0.048333333,0.185,7.928571429,L
S15024_2003,15024,12.5,0.048333333,0.093333333,6.588235294,L
S15051_2014,15051,21.7,0.02800659,0.484349259,9.453376206,M
S15087_2011,15087,28.68333333,0.100813008,0.681300813,8.711018711,M
S15151_2011,15151,18,0.037766831,0.26272578,8.743169399,M
S15169_2012,15169,48.15,0.155216285,0.247667515,6.147368421,H
S15176_2014,15176,18.46666667,0.018209408,0.050075873,7.333333333,M
S15196_2004,15196,43.4,0.003333333,0.755,9.956043956,M
S15201_2013,15201,53.65,0.139767055,0.494176373,7.795275591,H
S15315_2012,15315,7.4,0.786945813,0.025862069,0.318181818,L
S15406_2012,15406,59.1,0.023289665,0.320232897,9.322033898,H
S15413_2012,15413,44.7,0.026622296,0.334442596,9.262672811,H
S15479_2012,15479,42.6,0.031404959,0.319008264,9.103773585,M
S15479_2013,15479,72.8,0.018333333,0.465,9.620689655,H
S15479_2014,15479,69.9,0.001612903,0.190322581,9.915966387,H
S15479_2015,15479,68,0.106666667,0.406666667,7.922077922,H
S15520_2014,15520,11.9,0.667721519,0.061708861,0.845986985,L
S15531_2011,15531,27.35,0.67816092,0.091954023,1.194029851,M
S15536_2004,15536,29.3,0.003333333,0.621666667,9.946666667,M
S15571_2011,15571,24.5,0.237241379,0.062068966,2.073732719,M
S15703_2012,15703,14.7,0.429787234,0.012765957,0.288461538,L
S15792_2011,15792,15.2,0.725913621,0.014950166,0.201793722,M
S15796_2010,15796,6.757142857,0.345697329,0.102373887,2.284768212,L
S15796_2013,15796,7.8,0.633333333,0.028333333,0.428211587,L
S15858_2013,15858,37,0.336666667,0.17,3.355263158,M
S15901_2011,15901,12.86666667,0.353037767,0.264367816,4.281914894,L
S15964_2012,15964,55.3,0.131280389,0.397082658,7.515337423,H
S15993_2015,15993,75,0.408566722,0.327841845,4.451901566,H
S16022_2015,16022,31.9,0.455,0.071666667,1.360759494,M
S16049_2015,16049,77.95,0.197044335,0.344827586,6.363636364,H
S16066_2011,16066,30.2,0.146496815,0.092356688,3.866666667,M
S16103_2011,16103,13,0.430213465,0.057471264,1.178451178,L
S16110_2011,16110,6.35,0.526315789,0.007974482,0.149253731,L
S16112_2010,16112,14.425,0.309486781,0.122861586,2.841726619,L
S16114_2011,16114,6.6,0.738410596,0.029801325,0.387931034,L
S16122_2012,16122,11.6,0.73255814,0.021802326,0.289017341,L
S16125_2015,16125,0.95,0.529118136,0.126455907,1.92893401,L
S16127_2011,16127,3.6,0.212171053,0.3125,5.956112853,L
S16128_2014,16128,8.15,0.153724247,0.031695721,1.709401709,L
S16131_2010,16131,10.78,0.2625,0.040625,1.340206186,L
S16139_2010,16139,1.472222222,0.308457711,0.097844113,2.408163265,L
